iter	Logloss
0	0.6758044143
1	0.6607079081
2	0.6476996109
3	0.6354500382
4	0.6245421715
5	0.6148357223
6	0.6061234913
7	0.5984669635
8	0.5918968251
9	0.585628918
10	0.5801439954
11	0.5752123463
12	0.5707290367
13	0.56649762
14	0.5626030442
15	0.5591301861
16	0.5561413108
17	0.553444734
18	0.5507406183
19	0.548332615
20	0.5463227359
21	0.5443678445
22	0.5426133114
23	0.5409893266
24	0.5395457662
25	0.5382664136
26	0.5370089603
27	0.5358780572
28	0.5347294297
29	0.533710611
30	0.5327634972
31	0.5318940084
32	0.5312047353
33	0.5304882406
34	0.5297807779
35	0.5291217774
36	0.5285343805
37	0.5279830322
38	0.527504647
39	0.5270264691
40	0.5265810863
41	0.5262319323
42	0.5258658348
43	0.5255293524
44	0.525195915
45	0.5248886476
46	0.5245791595
47	0.5242905382
48	0.5240085398
49	0.5237621896
50	0.5235063692
51	0.5232818084
52	0.5230598341
53	0.5228734962
54	0.5226747765
55	0.5224984416
56	0.5223318632
57	0.5221841756
58	0.522040009
59	0.521905425
60	0.5217660123
61	0.5216585627
62	0.5215100697
63	0.5214125796
64	0.5213131122
65	0.5212078971
66	0.5211135885
67	0.521026274
68	0.5209222775
69	0.5208458778
70	0.5207493327
71	0.5206645105
72	0.5205966868
73	0.520499091
74	0.5204516589
75	0.5203975982
76	0.5203376615
77	0.520285571
78	0.5202142827
79	0.5201698673
80	0.5201104306
81	0.5200447649
82	0.519989251
83	0.5199264353
84	0.5198654856
85	0.5198229339
86	0.5197668578
87	0.5197321265
88	0.5196943741
89	0.5196540975
90	0.5196068279
91	0.5195813867
92	0.5195392132
93	0.5194981924
94	0.5194665942
95	0.5194370413
96	0.5193943588
97	0.5193651327
98	0.5193349585
99	0.5192844846
100	0.519251251
101	0.5192291279
102	0.5191896449
103	0.5191637312
104	0.5191466349
105	0.5191194357
106	0.5190834446
107	0.5190555238
108	0.5190214929
109	0.5190073128
110	0.5189768721
111	0.5189559797
112	0.5189312694
113	0.5189074994
114	0.5189037264
115	0.518871777
116	0.5188427379
117	0.518822815
118	0.5188015006
119	0.5187847089
120	0.5187546393
121	0.5187406641
122	0.5187276705
123	0.5187113968
124	0.5186946496
125	0.5186812273
126	0.518655386
127	0.5186304323
128	0.518624207
129	0.5186126296
130	0.5185882234
131	0.5185741113
132	0.5185520974
133	0.518520807
134	0.518503397
135	0.5184949677
136	0.5184776449
137	0.5184750551
138	0.518446524
139	0.5184393002
140	0.5184306168
141	0.5184101436
142	0.5183912318
143	0.5183690335
144	0.518357022
145	0.5183443258
146	0.5183223182
147	0.5183068868
148	0.5182869714
149	0.5182584575
150	0.5182450861
151	0.5182286493
152	0.518218982
153	0.5182094356
154	0.5181888628
155	0.5181754674
156	0.5181471716
157	0.5181341676
158	0.5181180305
159	0.5181058817
160	0.5180906896
161	0.5180653089
162	0.5180269275
163	0.5180053663
164	0.5179936519
165	0.5179748825
166	0.5179484069
167	0.5179257096
168	0.5179003441
169	0.5178979781
170	0.517883947
171	0.517876401
172	0.5178651066
173	0.5178492025
174	0.517836304
175	0.5178237723
176	0.5178190451
177	0.5178104018
178	0.5178036534
179	0.5177951661
180	0.5177880841
181	0.5177764392
182	0.5177713778
183	0.5177494927
184	0.5177348005
185	0.5177281074
186	0.5177135208
187	0.5177038603
188	0.5176904737
189	0.517675099
190	0.517663271
191	0.5176434096
192	0.5176350074
193	0.5176340183
194	0.5176233841
195	0.5176064327
196	0.5175957543
197	0.5175888531
198	0.5175812461
199	0.5175674404
200	0.5175492476
201	0.5175381029
202	0.5175320289
203	0.5175089081
204	0.5175049558
205	0.5174826391
206	0.517471428
207	0.5174549201
208	0.517434686
209	0.5174130255
210	0.5173942056
211	0.517375334
212	0.5173677168
213	0.5173477201
